"Họ tên","Học hàm/Học vị","Chuyên khoa","Cơ sở y tế","Đánh giá","Đường dẫn hồ sơ"
"Đỗ Tất Cường","Giáo sư, Tiến sĩ","Tim mạch","Trung tâm hồi sức và cấp cứu - Bệnh viện Đa khoa Vinmec Smart City","N/A","/vie/chuyen-gia-y-te/do-tat-cuong-416-vi"
"Nguyễn Thanh Liêm","Giáo sư, Tiến sĩ","Nhi","Trung tâm Y học tái tạo & Trị liệu tế bào","N/A","/vie/chuyen-gia-y-te/nguyen-thanh-liem-50989-vi"
"Trần Trung Dũng","Giáo sư, Tiến sĩ","Ngoại chấn thương chỉnh hình","Trung tâm Cơ xương khớp và Chấn thương chỉnh hình - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/tran-trung-dung-51519-vi"
"Philippe Macaire","Giáo sư, Tiến sĩ","Gây mê - điều trị đau","Khoa Gây mê giảm đau - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/philippe-macaire-51188-vi"
"Phạm Nhật An","Giáo sư, Tiến sĩ","Nhi","Trung tâm Nhi - Bệnh viện Đa khoa Quốc tế Vinmec Times City","N/A","/vie/chuyen-gia-y-te/pham-nhat-an-50932-vi"
"Đoàn Quốc Hưng","Giáo sư, Tiến sĩ","Tim mạch","Bệnh viện Đa khoa Quốc tế Vinmec Ocean Park 2","N/A","/vie/chuyen-gia-y-te/doan-quoc-hung"
"Bùi Đức Phú","Giáo sư, Tiến sĩ","Tim mạch","Hệ thống Y tế Vinmec","N/A","/vie/chuyen-gia-y-te/bui-duc-phu-51608-vi"
"Phạm Bá Nha","Phó giáo sư, Tiến sĩ","Hỗ trợ sinh sản","Trung tâm Sức khỏe phụ nữ - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/pham-ba-nha-51820-vi"
"Phạm Đức Huấn","Phó giáo sư, Thầy thuốc nhân dân, Tiến sĩ","Tiêu hóa","Trung tâm Tiêu hóa - Gan mật - Tiết niệu - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/pham-duc-huan-51486-vi"
"Nguyễn Văn Đĩnh","Phó giáo sư, Tiến sĩ","Dị ứng miễn dịch lâm sàng","Đơn nguyên Hô hấp - Dị ứng Miễn dịch lâm sàng - Bệnh viện Đa khoa Quốc tế Vinmec Times City","5/5","/vie/chuyen-gia-y-te/nguyen-van-dinh-51127-vi"
